id,billing_date,due_date,status,project_leader,total_hours,start_date,finish_date,employees,description,budget,client
245,2022-10-15,2023-10-10,pending,Gerald Preston,70,2021-06-25,2022-01-17,"1195,3023,1089,2478,2226,2374,3610,1641,1399,3765,1845,1220,3489,1650,3989,3302,1240,2252,1643,3230,2245,1391,3157",Hot defense along present concern see agency owner.,15702,Ramirez Group
246,2023-10-07,2023-06-11,completed,Angela Molina,485,2022-06-26,,"2190,1361,1264,3512,2801,2878",Authority age never drop.,42735,Perry-Hernandez
247,2020-01-03,2024-10-22,pending,Reilly Moyer,69,2023-03-13,,"2606,1590,3502,2037,1678,2560,2048,2308,3245,1637,1161,3075,3508,1190,3920,2899,3372,3070,2074,3584,2562,2311,1396,3258,1636,3186,3620,1499",System thus building send heart who.,25460,Sanders Ltd
248,2022-04-25,2023-11-11,on hold,Bridger Carter,78,2022-04-02,2022-05-14,"2703,3602,2403,1760,2392",Whose imagine their.,47428,Campbell PLC
249,2023-06-23,2024-02-28,on hold,Myriam Givens,272,2020-08-26,2021-04-02,"1532,3186,2999,1084,3927,3329,2498,3852,1241",Involve page candidate land traditional keep amount before.,12175,"Williams, Crane and Anderson"
250,2022-03-03,2022-11-03,active,Reilly Moyer,308,2024-06-04,2023-12-03,"2064,1552,3390,2309,1511,1009,3540,2641,3812,3218",Security important maybe agreement others break radio.,17153,Sampson-Bond
251,2021-10-05,2022-04-12,on hold,Xana Potts,240,2021-07-30,2020-12-27,"1998,1460",Hotel soon man area theory so five.,5901,"Williams, Bradley and Tran"
252,2020-09-15,2021-02-21,completed,Bobby Rodgers,306,2023-11-28,2024-02-09,"2965,2786,1249,1304,2948,3800,3215,3333,1438,2849,1415,2809,3275,2022,2700,2734,2541,1943,3226",Situation already network attention particular person top.,48285,Lewis-Stephens
253,2022-03-30,2021-12-29,active,Hector Dalton,162,2023-06-17,2022-03-14,"3803,3013,2694,2331,2665,2012,3994,2541,1279",Mission safe job room end.,11689,"Vasquez, Jones and Moore"
254,2022-06-05,2024-01-03,completed,Reilly Moyer,218,2020-12-23,,"3398,3869,3102,1171,1587,2668,2215,1748,3652,2456,3637,1802,1962,1300,2201,3643,1778,3687,2749,2880,3494",Mrs need include beautiful experience.,16717,"Chandler, Maldonado and Lane"
255,2024-04-19,2022-05-26,on hold,Dheepa Nguyen,69,2022-04-15,2020-06-01,"2216,1091,1238,3233,1332,1839,2949,1373,3751,1032,2790",Music child wall include thus government they edge.,42584,"Benson, Miles and Stephens"
256,2020-01-19,2020-07-13,on hold,Angela Molina,89,2020-03-14,,"1434,3950,3108,3862,2796,3300,3531,1396,1785,2180,1336,3096,2197,2129,1216,1809,1489",Pretty learn ok young science road.,26851,"Wyatt, Hill and Torres"
257,2024-06-10,2022-02-21,pending,Bobby Rodgers,153,2023-08-15,2022-07-11,"3035,3166,1811,3416,2795,2969,2815,2355,3059,2372,1533,1516,1222,3446,1496,3873,2614,1497,1291,3735,1937",Network next even fight.,40347,Baldwin-Proctor
258,2022-06-26,2022-09-10,active,Angela Molina,182,2023-10-26,2022-12-01,"2279,3525,1294,1464",Project traditional find security practice write.,23236,Simmons and Sons
259,2021-05-23,2021-06-08,on hold,Xana Potts,359,2020-08-13,2020-04-09,"2529,3121,3542,1088,1538,3726",Today himself dinner poor college while series.,7222,"Kim, Flores and Hansen"
260,2023-04-09,2022-06-19,on hold,Bridger Carter,96,2021-05-27,,"3085,1371,2999",News bank author ever.,39589,Stewart-Joseph
261,2020-04-22,2023-04-22,active,Carlee French,363,2020-08-14,,"1540,2536,2566,1420,2584,1706,1478,3369,2074,3666,3284,1119,1991,3542,1232,2803,2319,3647,1184,3979,3153,3935,1075,3400,3532,3053,2607,1351,2039,3623",Specific near collection factor often part.,41027,Thomas PLC
262,2020-10-28,2022-11-09,completed,Myriam Givens,151,2022-04-15,2024-08-15,"2494,3641,1689,3275,3700,3312,3967,3890,3982,2233,1578,3188,2093",Subject event consider in chair bring avoid bad.,7584,Schwartz Group
263,2022-10-03,2020-07-23,on hold,Carlee French,137,2020-04-12,,"1690,3230",Myself way relate.,37126,Chambers-Henry
264,2024-07-15,2023-01-21,active,Kristen Tate,87,2022-06-18,2024-03-22,"1983,3632,3690,2229,3871,1183,2112,2880,3943",Alone nor glass billion nothing thought concern.,15440,"Montoya, Alvarez and Ryan"
265,2023-03-06,2023-09-28,completed,Jaydon Blackburn,389,2021-07-02,2024-01-01,"1833,2765,1014,1511,1769,3571,3518,3075,3878,1143,1550,2927,1607,1644,3843,2820,2362,1344,3964,1688,2023,3461,3439,3244,2382,3922,2340,1655,2511",Hospital their husband.,43860,Beck Group
266,2024-07-25,2024-07-15,on hold,Kristen Tate,173,2021-08-14,,"3433,1207,2690,1648,2395,1399,3379,3564",Table season its writer under mission act.,5989,Davis LLC
267,2021-01-21,2021-03-03,on hold,Reilly Moyer,470,2021-11-08,,"3760,1181,2232,2057,3976,1954,2998,2840,1692,3043,3402",Book real responsibility much accept expect author value.,47622,Roberts-Archer
268,2020-10-16,2023-08-13,on hold,Reid Park,430,2020-05-19,,"1151,2974,1611,3690,1507,2180,1232,3833,3398,1701,2171,2062,2503,3717,3041,2658,1107,3520,3734,2604,3270,2140,1119",Deep score kitchen debate board prepare me.,38687,"White, Morris and Black"
269,2022-08-02,2024-06-12,on hold,Prater Jeremy,186,2022-10-26,2024-06-03,"3251,1916,2502,3342,1799,1669,2774,3570,1058,2473,3747,3434,2098,2184,2610,3117,1524,2705,3256",Impact close vote.,39247,"Jarvis, Meyer and Woods"
270,2024-03-24,2024-08-26,active,Myriam Givens,474,2023-09-25,,"3361,3933,1694,1053,2959,2944,2780,1895,3687,2091,1769,3996,2181,1507,2068,1243,1071,1693,2663,3702,1956,2922,2255,2842,3664,2977,3867",Manage easy structure direction bring light.,37874,Lawson-Brown
271,2022-01-12,2022-04-11,active,Axel Howe,144,2021-06-11,2024-08-19,"2816,1810",Outside production bit why might after street.,16975,Reyes-Allen
272,2021-07-06,2021-06-26,active,Jaydon Blackburn,230,2021-07-06,2022-12-15,"3415,1318,2881,2204,2510,3987,3540,2842,3438,2597,2413,2530,2859,2252",Nothing mission true identify home name community.,22859,Owens-Guerrero
273,2020-03-18,2021-08-26,active,Bridger Carter,210,2021-05-19,2023-02-15,"3625,3676,1725,3800",Person feeling billion low sing simply.,12495,"Ferguson, Cain and Massey"
274,2020-04-11,2022-02-23,active,Myriam Givens,163,2023-09-02,2023-09-25,"1349,2471,2906,1078,2093,3011,2345,2689,3060,2589,1826,2091,1236,1193,2035,2322,3342,2886,3074,3606,3992,1658,1696,1486,3422,3648,2039",Consumer simply international look fish kind pass.,22984,"Mitchell, Aguirre and Owens"
275,2022-05-27,2022-11-06,completed,Xana Potts,482,2024-11-04,,"1624,1656,1084,1553,2811,2397,2857,3158,2701,2283,3991,2031",Tough quality partner art.,8768,"Johnson, Carpenter and Johnson"
276,2021-12-18,2020-06-18,on hold,Xana Potts,376,2023-03-23,,"2999,2780,3066,1619,3841,1910,3429,1133,2017,2816,3246,3643,3740",Could reason table indicate maybe world.,9412,Sullivan-Hawkins
277,2020-08-22,2020-09-13,on hold,Kristen Tate,490,2023-05-23,2022-01-12,"2911,3977,3083,3472,2406,3475,3264,2956,3355,3202,1686,3749,1329,2655,1568,1975,1058,3075,3692,3870,3480,3719,1552,3126,1858,1749",Whole listen cover activity wide them.,12172,Walton Group
278,2021-09-20,2022-09-27,completed,Mariela Schultz,127,2021-10-16,,"1560,1652,2779,1318,1089,2862,1098,2079,1243,1709,3666,1591,1779,1040,3879,1575,1239,1158,3818,3830,1274,3807,3241,2102,2718,3521,2188,1925,1451",Defense box hotel piece some government.,27719,Taylor LLC
279,2020-12-07,2024-01-14,completed,Reid Park,198,2024-02-26,,"1488,1811,1945,2614,1241,1588,2782",Arrive set type per.,31833,Brown-Arnold
280,2020-07-15,2021-03-03,pending,Carlee French,326,2024-01-13,,"2719,2563,2285,1314,2972,2339,1094,3026,3789,3396,1839,1455,2151,2116,3831,1823,2000,2427,2044,3331,1864,2115,3056,3087,3643,3700",Agree actually play cup trade because.,8800,Davis-Brown
281,2021-06-06,2024-11-18,completed,Bobby Rodgers,63,2020-11-04,2024-09-05,"1868,1616,1626,3252,3096,1545",Watch choose establish clearly or military recent.,21383,"Boyd, Thomas and Erickson"
282,2021-07-12,2024-09-26,pending,Leon Beard,381,2023-09-21,,"3544,2855,1073,2604,3508,1027,3352,1582,2255,3155,1092,3197,1346,3916,3478,3641,1399,2247,1494,2609,1395,1810,3738,1646,3711,1968",Could democratic second actually east.,34129,"Le, Turner and Nixon"
283,2023-08-06,2020-10-06,pending,Jaydon Blackburn,185,2022-06-21,,"1765,1767,2126,2943,3777,2231,3799,3958,2221,3255,2089,1974,3506,1817,3561,1545,2683,1036,1922,2158,3260,1615,2100,2771,1812,2785,1822",Decide toward collection two forward.,18376,Thomas Ltd
284,2020-06-28,2020-05-11,completed,Charity Miranda,204,2024-05-18,2020-11-20,"1757,1255,2268,1088,1537,2122,2784,1765,1074,1978,3195,1051,2916,3076,1507,3138,2894,1986,2900,2509,2172,1213,3690,3023,1886,1110,3787,3838,2627",Everyone better situation fear continue memory home PM.,15453,Newton PLC
285,2024-02-08,2024-04-30,active,Reilly Moyer,495,2022-10-05,,"3310,3993,2832,3741,1311,1573,2689,3899,2669,2537,3093,3641,1263,1843,1635,3142,3000,1935,2378",Interview state very admit realize southern.,42847,"Hunt, Walker and Douglas"
286,2024-09-11,2023-05-07,completed,Gerald Preston,136,2022-08-07,2023-08-31,"3432,1828,1150,1933,1171,2875,2879,2223,1694,3681,3285,3412,3916,1813,1338,3454,2108,2656,1222,2335,1756,3099,1655,3339,1270,3571,2390,1620",Wait anyone their participant manage.,41484,"Brown, Walker and Cruz"
287,2020-05-01,2024-08-20,on hold,Bridger Carter,264,2020-02-06,2021-07-26,"3976,2458,2012,3504,1206,1479",Third cost only pretty ago night feeling.,13154,"Moore, Carr and Lee"
288,2020-10-10,2022-03-27,on hold,Bobby Rodgers,336,2022-05-17,,"1275,1695,2874,3251,2964,1705,2782,1396",Company staff career fight southern country effort.,18830,Taylor-Jackson
289,2024-09-30,2020-06-24,on hold,Xana Potts,376,2024-09-27,,"3317,1224,2390,1621,2879,1855,3465,3399,3291,3065,1975,1598,2164,1055,3078,3190,3954,2563,3597,3531,3989,1363,2866,1288,1634,3096",Above far hold learn base play simple tell.,21278,Everett-Kelley
290,2020-09-02,2023-12-28,completed,Bobby Rodgers,323,2024-02-28,,"1465,3478,2834,1285,1239,2976,3743,1540,3408,2923,1074,1963,2785,1013,1001,1662,3020,3741,2984,1718,1721,1368,3755",Suddenly must begin always serve region if.,15320,Anderson Group
291,2024-10-22,2020-09-20,pending,Mariela Schultz,375,2022-06-27,,"2707,3779,2517,3850,3197,2256,3003,2161",May live these respond seek.,24880,Lloyd Ltd
292,2024-03-21,2024-09-09,completed,Jaydon Blackburn,58,2021-09-16,2022-03-12,"2676,1322,2720,1586,3484,2683,1793,1523,1701,2271,3336,2387,2627,2961,1881,2279,2749,1406,3092,2214,1847",Trade brother work challenge prevent military career.,27059,Miller-Leon
293,2022-05-27,2024-08-24,completed,Gerald Preston,430,2022-12-02,,"2213,2541,3448,3890,3815,2995,1737,2396",Community small do benefit than.,32751,Chapman LLC
294,2021-06-22,2021-08-11,pending,Charity Miranda,391,2023-04-05,,"1011,2899,1622,3374,3424,3228,1696,1761,1235,1387,3393,2973,1950,1187,1123,1543,3802",Poor spring station maintain believe.,7163,"Moore, Cortez and Park"
295,2023-11-24,2024-11-05,completed,Mariela Schultz,53,2022-02-16,,3810,Time put participant notice seven beat.,29028,Lucas-Johnson
296,2024-01-26,2022-05-20,on hold,Reilly Moyer,413,2022-01-31,,"1833,1846,3084,1063,2819,2348,1986,3464,3151,1050,3240,2610,1786,2458,2032,3606,3686,2773,3873",Seem rate be explain main financial.,42167,Barrett-Mccoy
297,2024-09-21,2023-07-22,on hold,Kaylah Moon,151,2024-01-06,,"1588,1091,2485,2324,1138,2213,1010,2330,2232,1357,2628,2215,1874,2750,3362,3829,2797,3721,2141,3158,1191,1986,2994,3851,1382,2618,2899",Camera seem experience would language management clear.,9912,Duran-Schwartz
298,2024-10-30,2023-10-04,completed,Angela Molina,125,2021-06-07,,"3677,2852,1499,1665,1533,3821,1072,2933,3350,3769,3750,3618,3171,1632,2144,1810,2527,2775,3366,3233,3702,3759",Life fill common huge major candidate.,6764,Jenkins-Mills
299,2022-01-19,2022-02-07,on hold,Dheepa Nguyen,204,2022-04-27,,"3729,1796,3699,1911,1067,2895,3190,3955,1509,1730,2924,2610,3299,3035,1886,2593,1685,3907,2075,1636,1597,1039,1851,3444,3038,2462,3115,3237,3933,2011",Hotel development keep moment easy that.,8881,Weber Inc
300,2021-06-16,2021-08-31,pending,Bartholemew Khemmich,235,2021-02-07,,"2225,1416,3599,1583,3918,1910,2232,2062,2570,2679,2670,1890,2795,3773,2325,2264,2149,3321",Summer will task southern wait project.,34158,Price and Sons
301,2022-01-31,2022-06-30,active,Reid Park,67,2023-02-02,2022-07-14,"3894,3499,1075,3449,1509,3146,2841,1394,2610,2277,1983,3164,1712,1057,2325,3812,2993,1558,2435,3393,1443,2590,1808,2746,1323,1440,1732,1025,1261,3875",Tell page us choose range site.,25536,Williams-Buckley
302,2023-03-13,2024-12-12,pending,Xana Potts,67,2021-09-07,2020-01-15,"2874,3945,1314,2627,2558,3752,3085,3935,3226,1241",Hundred health station teacher relate skin.,23865,"Johnson, Collins and Cummings"
303,2024-04-08,2022-09-22,active,Carlee French,225,2021-06-15,,"2646,3193,2384,3822,3736,2923,3087,2585,2676",Four so check guess trade occur.,32287,Wilson Group
304,2024-03-15,2024-11-29,active,Dheepa Nguyen,141,2021-08-27,2023-05-26,"2945,2599,1644,3304,3688,3459,2068,2531,2713,2138,1146,3853,2994,2668,3230,3849,2348,1790,3507,2061,1681,1848,1911,1066,1178,3863,1858,3760,3356,3200",Heart movement explain old arm see.,35556,Lang Inc
305,2024-07-25,2021-06-17,on hold,Prater Jeremy,122,2021-07-31,,"1913,2781,2148,2146,3222,2993",Foreign recognize agree more piece prepare office.,22278,"Buck, Anderson and Miller"
306,2020-12-12,2022-07-01,on hold,Hector Dalton,229,2023-06-09,,"1419,3489",Serve thank center effort try cause government.,18219,Rodriguez Ltd
307,2020-06-29,2024-07-10,pending,Reilly Moyer,116,2020-02-26,,"1527,1509,3263,1061,1333,2563,1121,2280,3476,2015,2991,1186,2960,1472,2534",Outside other turn behavior family light side return.,16542,Campbell PLC
308,2021-10-15,2022-11-09,completed,Gerald Preston,429,2020-05-31,2022-11-06,"1445,3522,1568,3206,3248,1565,2240,1499,1430,2455,3368,2705,2643,1150,3511,3652,2063,2349,1662,3317,3057,1145",Pm a Republican mother guess never garden.,15777,Harris LLC
309,2020-01-31,2025-02-01,active,Hector Dalton,327,2021-12-15,2020-09-15,"1864,2811,1331,2009,1843,1579",Body three onto yes.,9064,"Blankenship, Brown and Clark"
310,2023-11-13,2023-08-16,active,Angela Molina,403,2021-06-06,,"3503,3008,1518,2652,2465,3552,3886,1448,2900,3208,2436,3255,1387,2238,1932,2999,1911,1460,1279,1960,1417",Should positive center serious our new.,42949,Turner-White
311,2020-03-02,2022-01-14,completed,Kristen Tate,217,2021-10-23,2022-10-22,"3209,2139,2893",Part set thousand effect.,49764,"Miller, Evans and Curtis"
312,2020-03-02,2021-06-30,completed,Leon Beard,464,2020-10-21,,"3438,2627,1256,2462,1618,2819,2541,3835,1621,3949,3280,1277,3318,1943,1430,2770",Final word bank soon degree decade.,23817,"Robinson, Barrett and Rojas"
313,2023-10-24,2024-05-19,on hold,Axel Howe,328,2022-04-04,2020-09-29,"2245,3625,3167,2306,2912,2559,3971,3152,1431,1445,2043",Game walk pay draw Democrat explain.,29713,"Martinez, Williams and Andrews"
314,2024-05-16,2022-03-14,on hold,Kaylah Moon,377,2022-12-15,2021-07-13,"3021,1099,2615,1710,3035,1875,2775,2938,2876,1705,2943,1288,1588,3906,2512,2117,2516,2518,1833,1376,1853,2671",Clear job leave system watch institution.,23851,"Henderson, Rodriguez and White"
315,2024-10-12,2021-06-26,on hold,Bartholemew Khemmich,100,2021-10-14,,"1997,3913,3824,3895,3749,2228,2576,3591,3684,3827,1765,2506,1602,3208,3767,2224,3765",Candidate into view.,20656,"Briggs, Castillo and Torres"
316,2020-05-10,2023-03-08,active,Prater Jeremy,97,2023-01-10,,"1462,1144,2180,1617,3260,3659,1544,1181,3935,1448,2066,1123,3657,2394,2043,3832,2949,2178,2131,1105,2229,2156,2460,2832,3065",Forget before account audience budget.,24240,"Patton, Scott and Burns"
317,2024-08-29,2021-10-05,on hold,Angela Molina,195,2022-08-12,2022-03-28,"2595,1418",Study sport control than.,38645,"Herrera, Long and Kemp"
318,2021-12-08,2023-03-05,on hold,Myriam Givens,401,2020-05-09,,"1769,2998,2063,3459,3928,1240,2537,3701,3575,3695,2455,3648,2142,2427,2677,1323,2468,3855,1947,1190,3631,3044,3897",Beyond stand bad listen face leave ten.,43394,Mccoy PLC
319,2023-01-10,2024-01-25,on hold,Reid Park,143,2022-06-06,2023-05-03,"2573,2972,3052,3667,3055,3519,1901,1995,2302,1011,1663,1673,2653,3088,2293,1686,1601,3297,1347,1125,1478,1047,3772,2316,2856,3581,1542,1086,2673",Team clear consider physical sell.,36192,Johnson and Sons
320,2021-02-18,2023-08-01,on hold,Angela Molina,323,2020-12-04,,"2241,1750,2701,3771,1957,2125,3742,3694,1524,1932,2982,1038,2681,2871,2925,2618",Focus reason blue left somebody manage state.,7036,"Cole, Willis and Leblanc"
321,2020-07-21,2024-01-16,active,Bridger Carter,347,2023-02-20,2023-04-11,"3532,1926,1814,1195,3329,2442,1526,2146,3846,1439,1642,2921,2544,2064,1095,2003,1708,3447,1211,1604,1644",Power new authority clear activity simple.,31313,Hernandez-Martin
322,2023-10-02,2024-07-05,on hold,Axel Howe,186,2023-03-08,,"3357,2963,2012,1678,1616,1053,3106,2384,1997,1670,3892,1509,2292,1453,2480,3086,3446,2380,1804,1124,2873",Term development answer thank family computer.,8611,Carlson-Duncan
323,2022-02-08,2020-08-24,active,Carlee French,120,2022-03-07,2024-01-04,"1327,2817,1308,2390,1443,3271,3525,2338,1858,2110,3193,2737,1187,3579,2369",Scene show fire must.,28840,"Cameron, Drake and Collins"
324,2023-06-10,2022-07-08,pending,Angela Molina,445,2021-04-08,,"3296,3275,1504,2465,3246,2600,3770,1964,2939,1281,2266,3975,3904,2996,2193,2341,3616,1492,3360,3173,1147,3217,3763,2880",Upon may offer somebody against if.,27016,Anderson-Fuller
325,2021-07-09,2020-10-26,active,Bridger Carter,141,2022-11-26,2024-06-17,"3417,3712,1640,3390,3365,2363,3084,2658,3229,1249",May staff place Mrs sing prepare why.,38377,Perkins-Crosby
326,2020-08-12,2022-05-31,active,Leon Beard,492,2021-07-21,,"3229,1541,2499,3808,2593,3717,2241,1445,1272,1894,1497,3247,3620,1910,1100,1528,2195,1440,3212,3492,2025,1391",Authority chair accept around girl.,17058,"Perry, Wagner and Hernandez"
327,2020-12-12,2024-06-13,on hold,Hector Dalton,194,2020-06-30,2020-06-23,"2337,2385,1559,1585,3693,2496,2883",She shoulder and take nature.,16766,Wilson LLC
328,2020-05-09,2020-10-16,on hold,Dheepa Nguyen,430,2020-08-06,2022-09-23,"2206,3776,3700,2365,1689,1852,1855,3080,3619,3940,3152,3531,3326,2886,1697,1022,3798,1447,3663,1395,1394,2595,3845,1426",Boy security father energy concern picture keep.,41902,Gray Group
329,2020-06-30,2023-03-15,active,Bobby Rodgers,284,2023-05-15,,"2326,2219,1244,3220,2321,1322,1214,3162,3509,2935,1879,2908,2239,3379,2291",Better majority lose successful third.,34584,Wallace Group
330,2023-09-30,2021-01-05,active,Kristen Tate,188,2023-11-14,2021-07-11,"2389,3990,1813,3921,3719,1306,3573,1113,1337,3978,1177,1799,3534,1867,3849,3935,3316,3631,3777,2846,3982,3609,3034,3464,3145,2966,3088",Art economy high charge participant.,7147,Thompson-Walker
331,2024-09-18,2021-08-14,completed,Kristen Tate,246,2021-01-17,,"2567,3478,3697,2320,2992,1782,3888,2835,2338,1040",Day determine hold explain reason.,48886,"Santiago, Rivera and Chen"
332,2023-06-08,2020-10-31,pending,Bobby Rodgers,149,2023-04-16,2023-06-29,"3415,1144",According analysis writer approach.,10398,Burnett and Sons
333,2021-09-17,2024-08-30,pending,Angela Molina,262,2023-07-31,2021-08-11,"1707,1303,1527,1399,1585,3847,1538,2251,1011,2968,2677,3624,1264,1459,3361,2624,2801,1576,3381,3374,2330,3650,3644,2664,3716,2508,1734,2323,3474,1816",Score main cause decide hand.,42567,"Brown, Williams and Green"
334,2024-04-01,2022-01-12,on hold,Hector Dalton,77,2023-01-12,,"3770,3460,2369,2175,2357,1899,3741,3474,1261,3167,1484,1809,1967,3316,1385,1165",Team establish green.,16890,Taylor-Lindsey
335,2024-09-23,2024-02-21,pending,Hector Dalton,107,2024-07-26,2020-06-19,"1001,3361",Us name them real cover.,20392,"Carlson, Taylor and Smith"
336,2020-07-08,2022-11-05,completed,Bridger Carter,396,2023-06-27,2021-07-18,"3778,1952,3200,3933,1907,2802,1693,2612,1635,3360,1785,2428,3185,2500,3026,3843,1310",Perform measure investment energy carry pressure or.,16155,"Myers, Scott and Valdez"
337,2023-08-27,2022-10-07,active,Carlee French,196,2023-05-20,2021-11-21,"1800,1326,2003",Sing remain task public lose investment event.,10939,Thomas Inc
338,2020-12-31,2023-11-22,completed,Angela Molina,318,2023-03-25,2020-07-21,"2783,3614,3430,2216,2410,3016,3992,1133,3924,1053,1810,2658,1161,2486,1889,3258,2917,2458,1054,3832,1716,2021,2687,1903,2013,2425,3118",Range school turn career early plan term.,49437,"Hunt, Hicks and Simpson"
339,2023-03-05,2024-05-06,completed,Xana Potts,453,2024-01-30,,"3741,2524,3407,3208,1521",International buy fine.,19065,Green LLC
340,2020-10-23,2023-01-16,completed,Reid Park,63,2020-03-07,,"1235,1612,2558,2878,1981,1141,2953,1471,2423,1562,2999,3312,1576,2606,3991,2777,1339,3255,3262,1491,2374,3647,3111,3340",Fly end politics first.,31831,"Kelly, Carr and Reilly"
341,2022-03-06,2024-05-12,on hold,Mariela Schultz,96,2024-09-26,,"2061,1022,3591,3334,2678,2319,3940,1706,2342,2511,3250,3733,3754,2453,2272,1545,3208,1608,3696,2404,3087,2571,3044,2819,1699",Agree question middle staff coach need environmental.,24655,"Rice, Yang and Duncan"
342,2022-06-06,2023-08-30,completed,Dheepa Nguyen,448,2024-03-19,2020-01-13,"2955,2658,2316,1510,1435,1113,3806,1388,3141,2857,3270,3222,1245,1942,2354,2986,2630,1651,2911",Country call police.,16133,"Holland, Sanders and Carlson"
343,2023-07-12,2024-04-24,on hold,Prater Jeremy,228,2022-08-26,,"2429,3541,3823,1252,1551,2684,3868,2604,1655,2432,1029,3318,2072,3304,2664,3141,1546,3039,3744,1033,2690,1025,2786,2094,2181,1770,3988,3777,3248",Newspaper Congress including from middle.,32580,Jones Inc
344,2020-06-13,2022-11-15,pending,Leon Beard,426,2024-04-17,,"2027,3035,1683,3178,2569,3023,2277,2898,1092,2422,1912,3404,3833,1080,1549,1662,1667,1991,2659,1824,3864,2647,3788,1392,2767,3107,3090,3515",Quality peace edge analysis appear.,14055,"Davis, Vance and George"
345,2022-01-18,2024-10-22,completed,Prater Jeremy,232,2023-01-02,,"2181,2617,3849,2489,1481,1727,1090,2479,2795,1753,3275,2400",Kid bar expert treat national ball action.,9104,Frank-Hicks
346,2020-09-22,2022-07-13,active,Reilly Moyer,239,2023-04-28,,"2032,3048,3620,1853,2548,3894,1327,1372,3098,1161,1024,2880,3342,1253,1320,1195,3962,2467,3353,1386,3264,3773,3026,1857,2311,1326,2507",Able win couple.,19348,"Novak, Jennings and Cameron"
347,2023-06-26,2024-10-05,pending,Prater Jeremy,159,2020-09-13,2024-03-06,"2219,2585,1873,2978,2523,1455,1324,2478,1425,3188,1480,1952,3407,3009,2019,1814,1764,1030,1192,1133",Find ground career white program term.,28870,"Hayes, Webb and Chandler"
348,2023-04-29,2021-07-14,completed,Kaylah Moon,66,2024-10-29,2020-12-06,"1320,2424,1512,1115,3367,3136,2500",Determine author surface from treat.,18093,"Bass, Myers and Barker"
349,2020-08-20,2022-02-22,completed,Bridger Carter,347,2024-02-25,2022-06-06,"1838,1878,2635,3855,3349,2987,2448,1277,2190,2250,1129,3960,2274,2770,2659,3234,2281",Service individual finish skin start western.,44416,Rodgers-Curry
350,2021-09-19,2021-07-24,active,Bartholemew Khemmich,374,2021-11-10,,"1941,3852,2175,3542,3787,2465,1386,3108,2761,2878,2570,1230,3628,1314,2079,3617,3284,3684,2191,2419,3067,3599,3019,3459,3049,3771",Commercial west family final clear.,20128,Mitchell-Ramsey
351,2023-04-16,2022-03-16,active,Charity Miranda,215,2024-01-29,,"1726,2824,2794,1877,1787,2153,2519,2813,2293",Bank lose service value raise decision act our.,20338,Quinn-Cain
352,2020-12-18,2021-03-10,on hold,Reid Park,179,2021-06-24,,"3301,2386,1390,2304,1765,3388,1090,3361,2323,1715,1247,3236,2619,2001,3995,3412,3270,2375,2370,2091,1380,2891,3502,2330,2378,3057,1146,2385",Describe gun PM walk doctor accept.,8120,Hines-Pierce
353,2024-08-09,2023-09-25,completed,Angela Molina,208,2021-06-23,,"2773,3626,2974",Service letter low high.,20336,Cole and Sons
354,2024-07-26,2020-06-19,active,Reid Park,381,2022-05-15,,"3686,1014,1641,3368,2352,3528,2131,2469,3818,1469,3632,1428,1656,3163,1056",These vote range music.,18873,Salinas PLC
355,2022-11-13,2021-11-07,completed,Angela Molina,232,2021-11-17,2023-08-23,"3734,3948,1626,2994,1072,1437,1791,2771,3813,1815,2418,3983,3661,3354,2586,2455,3798,3065,1187,2162,1308,3657,2065,1044,2343,2671,2045,2924,2332,1424",Sign how mouth least.,29668,Pittman PLC
356,2022-07-30,2021-08-07,on hold,Hector Dalton,379,2023-12-12,,"3981,2946",Little value simple visit tough total traditional.,36824,Kelly-Baker
357,2024-07-10,2020-08-22,completed,Bridger Carter,59,2021-01-30,2022-01-08,"1680,1555,1197,3998,1391,3517,3992,2193,1868,3280,3843,2978,2752,1764,2021,3687,2544,3306,2602,3841",Region scene follow people poor standard.,22340,"Smith, Shaw and Fisher"
358,2024-10-24,2022-05-29,on hold,Charity Miranda,396,2023-03-16,,"1840,1449,2375,3412,1989,3726,1240,1409,3893,2183,1897,3894,1351,1733,1056,2340,2346,2285,3792,2976,2529,3164,1173,3290,1842,2963,2604",Community public billion difference put.,38396,Bernard-Long
359,2020-08-25,2023-11-05,on hold,Dheepa Nguyen,386,2022-05-06,2021-07-24,"1709,2885,3314,3426,2568,2048",Notice need although value enter lose.,45733,Fernandez-Hobbs
360,2020-01-26,2022-04-07,on hold,Gerald Preston,364,2022-10-14,2024-07-14,"3833,2438,3669,3613,1524,1850,2859,3627,2592,2180,2200,2911,2090,1544,1815,1170,3883,2380,2910,2350,3905",Type son tell boy something peace to.,41423,"James, Kane and Johnson"
361,2024-03-16,2023-05-28,pending,Charity Miranda,203,2020-06-06,,"2424,3011,1592,1120,2772,3841,3118,2660,3866,2917,2289,1224,2061,2429,1765,1173",Gun that energy kid partner suddenly single.,40304,"Wagner, Evans and Haynes"
362,2024-01-14,2022-10-07,active,Axel Howe,228,2023-01-09,2020-10-25,"2013,2861,2438,3478,2518,2019,1985,1099,2545,2692,1749,1232,2292,1654,2687,3258,3045,1529,2458,3987,2928,2814",Big son door seven simple case.,39677,"Taylor, Garcia and Davis"
